model,survey,obs_mean,llm_N,random_mean,random_N,p_value_two.sided,sig_two.sided,p_value_greater,sig_greater
claude-3-5-sonnet-20241022,ccps,0.37590732630082135,12,-0.02264973870613244,12,7.174142320191586e-5,*,3.587071160095793e-5,*
claude-3-5-sonnet-20241022,energy_futures,0.4695921034071393,12,-0.017393891288200593,12,3.328210354728055e-5,*,1.6641051773640275e-5,*
claude-3-5-sonnet-20241022,zh_winterthur,0.5683773834212068,12,-0.0689409291223001,12,7.39602301050679e-7,*,3.698011505253395e-7,*
claude-3-7-sonnet-20250219,ccps,0.6819897939176788,12,-0.02264973870613244,12,7.39602301050679e-7,*,3.698011505253395e-7,*
claude-3-7-sonnet-20250219,energy_futures,0.6173198252262835,12,-0.017393891288200593,12,7.39602301050679e-7,*,3.698011505253395e-7,*
claude-3-7-sonnet-20250219,zh_winterthur,0.5911666572307798,12,-0.0689409291223001,12,7.39602301050679e-7,*,3.698011505253395e-7,*
grok-3-beta,ccps,0.36058630938166353,12,-0.02264973870613244,12,1.0280471984604439e-4,*,5.140235992302219e-5,*
grok-3-beta,energy_futures,0.7103850788573549,12,-0.017393891288200593,12,7.39602301050679e-7,*,3.698011505253395e-7,*
grok-3-beta,zh_winterthur,0.7314191006220156,12,-0.0689409291223001,12,7.39602301050679e-7,*,3.698011505253395e-7,*
gemini-2.5-flash,ccps,0.8336695697348773,12,-0.02264973870613244,12,7.39602301050679e-7,*,3.698011505253395e-7,*
gemini-2.5-flash,energy_futures,0.5166190484272811,12,-0.017393891288200593,12,1.0280471984604439e-4,*,5.140235992302219e-5,*
gemini-2.5-flash,zh_winterthur,0.6778375261971552,12,-0.0689409291223001,12,7.39602301050679e-7,*,3.698011505253395e-7,*
gpt-4o-mini,ccps,0.042742513384055984,12,-0.02264973870613244,12,0.932300503373326,n.s.,0.466150251686663,n.s.
gpt-4o-mini,energy_futures,-0.08999756147253585,12,-0.017393891288200593,12,0.1781820279599254,n.s.,0.9200134903459711,n.s.
gpt-4o-mini,zh_winterthur,-0.2190937132725122,12,-0.0689409291223001,12,0.3473579186999567,n.s.,0.8407074148089089,n.s.
gpt-3.5-turbo,ccps,-0.2532340171144098,12,-0.02264973870613244,12,0.05965706120504883,n.s.,0.9740676943194105,n.s.
gpt-3.5-turbo,energy_futures,-0.28362839530769235,12,-0.017393891288200593,12,0.010044538850569273,*,0.9958534196991593,n.s.
gpt-3.5-turbo,zh_winterthur,-0.4205772412673938,12,-0.0689409291223001,12,0.010044538850569273,*,0.9958534196991593,n.s.
command-r-08-2024,ccps,-0.470917244045307,12,-0.02264973870613244,12,4.955335417039549e-5,*,0.9999833589482263,n.s.
command-r-08-2024,energy_futures,-0.02452920152980844,12,-0.017393891288200593,12,0.8428359902313327,n.s.,0.6006273306717512,n.s.
command-r-08-2024,zh_winterthur,-0.9582444402856485,12,-0.0689409291223001,12,7.39602301050679e-7,*,1,n.s.
claude-3-haiku-20240307,ccps,-0.31059676617323756,12,-0.02264973870613244,12,0.014492507089088058,*,0.9939530115866096,n.s.
claude-3-haiku-20240307,energy_futures,-0.3584219831871324,12,-0.017393891288200593,12,3.712803551274409e-4,*,0.9998628037731552,n.s.
claude-3-haiku-20240307,zh_winterthur,-0.6380549039634325,12,-0.0689409291223001,12,1.40524437199629e-5,*,0.9999955623861937,n.s.
